,S2Ctrl_7,WTCtrl_1,S2Ctrl_8,WTCtrl_2,S2Ctrl_9,WTCtrl_3,S2CYTO_10,WTCYTO_4,S2CYTO_11,WTCYTO_5,S2CYTO_12,WTCYTO_6
AC003002.3,16,29,23,29,19,24,20,20,0,7,13,25
AC003005.1,0,0,0,0,0,0,0,7,0,0,3,0
AC003005.2,0,4,0,0,0,0,0,7,0,4,0,0
AC003006.1,20,12,33,22,15,4,3,0,0,10,1,3
AC003009.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003035.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003035.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003043.1,0,0,0,0,0,0,0,0,0,0,1,0
AC003043.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003045.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003070.1,0,0,0,0,0,0,0,0,3,0,0,0
AC003070.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003070.7,0,0,0,0,0,0,0,0,0,0,0,0
AC003071.1,5,3,0,2,1,1,1,1,1,0,3,1
AC003071.2,0,0,0,0,0,0,2,0,0,0,0,0
AC003072.1,13,30,20,41,25,32,10,11,6,13,13,12
AC003080.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003084.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003087.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003092.1,54,0,70,496,121,60,115,217,94,169,157,150
AC003092.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003098.1,0,3,0,4,0,0,0,0,0,0,4,0
AC003101.1,0,0,0,0,0,0,0,0,0,4,2,0
AC003101.2,23,22,14,31,21,8,14,40,9,15,7,15
AC003101.3,0,0,0,0,0,0,0,0,0,0,0,0
AC003102.1,16,17,15,102,5,18,9,16,11,13,6,11
AC003659.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003666.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003669.1,0,0,0,1,0,0,0,0,0,0,0,0
AC003681.1,307,385,241,862,477,623,557,1320,220,495,519,427
AC003682.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003684.1,0,0,0,0,2,0,0,0,0,0,0,0
AC003685.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003685.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003686.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003687.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003688.1,22,24,18,47,33,27,12,31,21,33,17,32
AC003688.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003950.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003956.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003957.1,1,0,0,13,0,0,0,3,1,1,0,0
AC003958.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003958.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003965.1,9,7,20,44,0,8,0,2,1,0,0,3
AC003965.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003973.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003973.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003973.3,14,19,5,25,22,38,12,30,0,2,41,49
AC003975.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003982.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003984.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003985.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003985.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003986.1,0,0,0,8,0,0,0,0,0,0,0,0
AC003986.2,15,15,14,68,35,44,8,14,6,8,25,21
AC003986.3,0,0,0,8,0,4,0,0,0,6,0,0
AC003988.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003989.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003989.2,0,0,0,0,0,0,0,0,0,1,0,0
AC003991.1,0,0,0,5,0,0,0,0,4,0,0,0
AC003991.2,0,3,0,8,5,0,4,0,0,7,5,0
AC003992.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004000.1,1,0,0,3,2,2,0,0,0,0,0,0
AC004004.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004006.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004009.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004009.2,0,0,0,0,0,0,0,0,0,0,0,0
AC004009.3,0,0,0,0,0,0,0,0,0,0,0,0
AC004012.1,0,0,0,0,0,2,0,0,0,0,0,0
AC004014.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004014.2,0,0,0,0,0,0,0,0,0,0,0,0
AC004022.1,0,0,0,2,0,0,0,0,0,0,0,0
AC004022.2,0,0,0,0,0,0,0,0,0,0,0,0
AC004023.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004024.1,0,0,0,1,0,0,0,0,1,0,0,0
AC004034.1,1,4,0,4,0,4,0,4,3,1,0,0
AC004039.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004052.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004053.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004054.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004057.1,1016,827,1157,2996,1053,1077,463,1192,380,805,1212,799
AC004062.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004063.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004066.1,0,1,0,1,0,0,0,0,0,0,0,0
AC004066.2,0,0,0,0,0,0,0,0,0,0,0,0
AC004067.1,20,11,9,24,11,13,4,23,4,7,15,5
AC004069.1,273,174,193,466,0,0,0,0,0,0,0,0
AC004069.2,0,0,0,2,0,0,0,0,0,0,0,0
AC004074.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004076.1,0,4,0,0,0,5,0,2,11,0,0,9
AC004076.2,12,2,8,23,8,2,2,9,0,3,4,2
AC004080.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004080.2,0,0,7,8,0,0,0,0,0,0,0,3
AC004080.3,125,98,45,42,135,26,11,33,0,10,18,70
AC004080.4,2,0,0,4,0,0,0,0,0,0,0,0
AC004080.5,0,0,0,0,0,0,0,0,0,0,0,0
AC004080.6,23,0,36,0,38,0,0,0,0,0,26,13
AC004112.1,1,1,2,2,3,5,0,2,0,2,3,1
AC004129.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004129.2,0,0,0,0,0,0,0,0,0,0,0,0
AC004129.3,0,0,0,0,0,0,0,0,0,0,0,0
AC004130.1,29,28,21,66,49,32,7,25,3,0,26,15
AC004134.1,0,0,0,0,4,2,1,0,0,0,4,3
AC004147.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004147.2,0,0,0,0,0,0,0,0,0,0,0,0
AC004147.3,0,0,0,0,0,0,0,0,0,0,0,0
AC004147.4,0,0,0,0,0,0,0,0,0,0,0,2
AC004147.5,0,0,0,0,0,0,0,0,0,0,0,0
AC004148.1,0,0,0,0,0,0,0,0,0,0,0,0
